Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lebanon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-42.45112,26.53316,49.44738,16.43835,10.76567,8.10524,6.44886,11.28594,1.05497,3.66572,-0.52558,1.34187,3.83967,3.42315,3.2271,6.67944,2.68578,1.54952,9.31062,9.06913,10.23216,7.97514,0.86734,2.56479,3.82787,2.48406,0.46232,1.55455,0.90303,-1.88471,-6.91492,-21.3999,-7.00124,-
Macau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.02372,8.45848,0.73258,6.69526,14.29248,7.81173,5.02437,7.97964,3.65943,13.29908,5.18596,4.25302,3.29656,-0.41927,-0.27986,-4.57067,-2.35879,5.74668,2.88859,8.91081,11.64055,26.63085,8.07544,13.39039,14.47639,3.39158,1.27432,25.12276,21.61653,9.24225,10.75285,-2.04838,-21.51441,-0.67906,9.98331,6.46467,-2.51194,-54.2359,19.26706,-26.76142
Malaysia,7.59799,6.42103,7.3388,5.35896,7.68486,7.81671,3.85715,7.97799,4.88853,5.98654,10.03466,9.38844,11.70108,8.31866,0.80107,11.56349,7.75306,6.65389,9.3491,7.44183,6.9421,5.94315,6.25223,7.76179,-1.02525,1.24059,5.19193,9.93772,9.0596,9.00853,9.54547,8.88512,9.89494,9.21204,9.82909,10.0027,7.32274,-7.35942,6.13761,8.85887,0.51768,5.39099,5.7885,6.78344,5.33214,5.58485,6.29879,4.83177,-1.51353,7.42485,5.29391,5.47345,4.69372,6.00672,5.09153,4.44978,5.81272,4.84309,4.41319,-5.53444,3.09216,8.69434
Maldives,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.85865,8.39794,7.49468,6.17566,3.84581,-3.94363,7.26839,13.75005,6.03375,-13.12905,26.11149,7.71387,9.48533,-7.22884,7.26513,8.56673,2.51738,7.28107,7.32963,2.88455,6.3383,7.20991,8.12313,7.09747,-33.4928,41.7451,12.29949
Mongolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.34214,5.83404,5.93342,5.71287,9.37499,3.45865,5.10797,4.1782,-3.18446,-8.69354,-9.25647,-3.16879,2.13438,6.37643,2.23509,3.89671,3.33994,3.07037,1.14606,2.95271,4.73298,7.00463,10.62541,7.25367,8.55623,10.24802,8.90037,-1.2686,6.36516,17.29078,12.31982,11.64892,7.88523,2.37984,1.48978,5.63688,7.74488,5.60224,-4.55775,1.63677,4.84591
Myanmar,-,2.28347,8.81082,3.12561,2.14749,2.526,-5.37517,2.7925,7.42624,4.1492,4.54433,3.26576,0.71338,2.17178,4.73207,5.13616,6.01445,6.24322,5.83877,6.6046,7.11693,5.96824,4.98096,4.66773,3.86681,0.86936,-2.52366,-7.60396,-4.28134,3.24815,1.05908,4.48834,7.76674,6.77977,7.20346,6.6869,6.0348,5.76185,8.47803,12.41819,12.46773,11.70305,12.98632,13.69529,13.56694,13.30687,12.50049,11.07427,10.40984,10.06929,7.52006,6.48575,7.89867,8.19966,3.27728,10.50778,5.75006,6.40498,6.75046,3.17377,-17.91294,3.00268
Nepal,1.90827,1.91032,1.89511,7.53245,-1.20319,7.04064,-1.5715,0.67548,4.46342,2.57599,-1.19538,3.1178,-0.47654,6.33359,1.45647,4.39854,3.01697,4.40574,2.36888,-2.31939,8.34197,3.77937,-2.97741,9.68113,6.14491,4.56565,1.69562,7.69681,4.32965,4.63504,6.36815,4.10641,3.84985,8.216,3.46845,5.32828,5.04861,3.01639,4.41257,6.2,4.79989,0.12014,3.94504,4.6826,3.47918,3.36461,3.41156,6.10464,4.53308,4.81641,3.42181,4.67014,3.52515,6.01148,3.97605,0.43311,8.97728,7.62238,6.65706,-2.36962,4.83815,5.61319
Oman,-,-,-,-,-,5.20446,66.21908,81.8878,25.66617,13.8951,0.89823,9.82522,-14.25206,11.49881,24.4335,20.54012,1.00722,-3.69353,4.33174,6.03544,17.04708,11.56984,16.66667,16.71159,14.0072,2.00216,-3.44078,5.96403,11.75686,-0.13043,6.07408,8.41388,6.04296,3.87577,4.99682,3.04594,6.03351,2.64234,0.3315,6.55107,4.4828,-1.10091,-2.66859,1.29221,2.49022,5.37189,4.45268,8.20008,6.1124,1.71399,2.89461,8.86312,5.2277,1.29225,5.01706,5.04642,0.30406,1.2871,-1.12871,-3.37971,3.09228,4.31125
Pakistan,5.98735,4.48286,8.68883,7.56976,10.41937,5.78995,5.40061,7.23322,5.5079,11.35346,0.46837,0.81341,7.06426,3.54019,4.21142,5.15619,3.9477,8.04853,3.75844,10.2157,7.92076,6.53749,6.77838,5.06521,7.59211,5.50165,6.45234,7.62528,4.95977,4.45859,5.06157,7.7059,1.75775,3.73742,4.96261,4.84658,1.0144,2.55023,3.66013,4.26009,3.55442,2.50834,5.77703,7.54686,6.51878,5.89898,4.83282,1.70141,2.83166,1.60669,2.74841,3.50703,4.39646,4.67471,4.73115,5.52674,4.43263,6.1517,2.49764,-1.27409,6.48709,6.18816
Philippines,5.69547,4.84629,7.01627,3.40249,5.34509,4.44116,5.22269,5.03816,4.68947,3.69249,5.38901,5.43039,8.78201,3.39461,5.4511,8.7784,5.56297,5.19238,5.59557,5.20071,3.42221,3.69841,1.89695,-7.03938,-6.85838,3.51068,4.36181,6.69693,6.18392,3.08267,-0.43639,0.41763,2.18189,4.37367,4.62523,5.86035,5.18641,-0.51409,3.34645,4.3825,3.04923,3.71626,5.08691,6.56923,4.94251,5.31642,6.51929,4.34449,1.44832,7.3345,3.85823,6.89695,6.75053,6.34799,6.34831,7.14946,6.93099,6.34149,6.11853,-9.51829,5.71473,7.57033
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.89819,7.18215,3.71996,19.21892,7.49276,26.17025,17.98566,17.66356,11.95656,19.59233,13.37518,4.73001,5.55604,5.33432,4.75335,3.06419,-1.4976,1.23487,0.77481,-3.64045,1.591,4.82769
Saudi Arabia,-,-,-,-,-,-,-,-,6.03789,58.64733,20.51222,22.93064,24.17053,16.22807,-8.92861,17.82097,7.09336,-5.21973,11.91943,5.65246,1.943,-20.72989,-16.05139,-4.66145,-9.7945,17.01275,-6.6325,13.10931,-0.50302,15.19343,15.00788,3.98754,-1.36374,0.55872,0.21209,2.63742,1.10378,2.89336,-3.76329,5.62542,-1.21074,-2.81917,11.24206,7.95844,5.57385,2.7884,1.84713,6.24977,-2.05925,5.03949,10.99376,5.42739,2.85034,4.02765,4.69015,2.36307,-0.0697,2.76224,0.83228,-4.34139,3.92172,8.74415
Singapore,8.13753,7.55344,10.04017,-3.10317,7.83426,10.1801,12.50861,13.52699,13.83383,13.942,12.41344,13.31556,10.603,6.1174,3.98874,7.43717,6.85244,7.77718,9.55445,10.11337,10.81592,7.10214,8.55448,8.79229,-0.6227,1.34281,10.79793,11.26359,10.15883,9.8209,6.6884,6.63981,11.45965,11.09569,7.1754,7.47139,8.31621,-2.19102,5.71837,9.03832,-1.07086,3.92336,4.54826,9.93998,7.36632,9.00677,9.02152,1.86348,0.12795,14.51975,6.21493,4.4355,4.81763,3.93554,2.9768,3.60166,4.54473,3.57543,1.33126,-3.90105,8.88235,3.64697
Sri Lanka,-,3.81802,2.51675,3.90643,2.53695,5.02379,6.43902,5.80109,7.71682,3.84663,1.30691,-0.41048,7.0574,3.84583,6.12623,3.33511,5.10059,5.65384,6.40356,5.84603,5.69952,4.1415,4.81399,5.09915,4.99941,4.35555,1.72561,2.47269,2.2993,6.4,4.59999,4.39999,6.90006,5.59992,5.50009,3.79997,6.4054,4.69842,4.30054,6.00003,-1.54541,3.96468,5.94027,5.44506,6.24175,7.66829,6.79683,5.95009,3.53891,8.01597,8.66948,8.63218,4.05175,6.37798,4.20596,5.05362,6.46068,2.31008,-0.22048,-4.62452,3.51222,-7.82398
